token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
2031	ἐπί	r--------		ἐπί		r--------	glaux_only
2032	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2033	ποιητής	n-p---ma-		ποιητής		n-p---ma-	glaux_only
2034	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2035	τε	b--------		τε		b--------	glaux_only
2036	ὁ	l-p---fg-		ὁ		l-p---fg-	glaux_only
2037	τραγῳδία	n-p---fg-		τραγῳδία		n-p---fg-	glaux_only
2038	καί	b--------		καί		b--------	glaux_only
2039	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2040	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2041	διθύραμβος	n-p---mg-		διθύραμβος		n-p---mg-	glaux_only
2042	καί	b--------		καί		b--------	glaux_only
2043	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2044	ἄλλος	p-p---ma-		ἄλλος		p-p---ma-	glaux_only
2045	,	u--------		,		u--------	glaux_only
2046	ὡς	d--------		ὡς		d--------	glaux_only
2047	ἐνταῦθα	d--------		ἐνταῦθα		d--------	glaux_only
2048	ἐπί	r--------		ἐπί		r--------	glaux_only
2049	αὐτόφωρος	a-s---nd-		αὐτόφωρος		a-s---nd-	glaux_only
2050	καταλαμβάνω	v-sfpmmn-		καταλαμβάνω		v-sfpmmn-	glaux_only
2051	ἐμαυτοῦ	p-s---ma-		ἐμαυτοῦ		p-s---ma-	glaux_only
2052	ἀμαθής	a-s---mac		ἀμαθής		a-s---mac	glaux_only
2053	ἐκεῖνος	p-p---mg-		ἐκεῖνος		p-p---mg-	glaux_only
2054	εἰμί	v-sppama-		εἰμί		v-sppama-	glaux_only
2055	.	u--------		.		u--------	glaux_only
2056	ἀναλαμβάνω	v-sppamn-		ἀναλαμβάνω		v-sppamn-	glaux_only
2057	οὖν	g--------	οὖν	οὖν	d--------	g--------	
2058	αὐτός	p-p---mg-		αὐτός		p-p---mg-	glaux_only
2059	ὁ	l-p---na-		ὁ		l-p---na-	glaux_only
2060	ποίημα	n-p---na-		ποίημα		n-p---na-	glaux_only
2061	ὅς	p-p---nn-		ὅς		p-p---nn-	glaux_only
2062	ἐγώ	p1s---cd-		ἐγώ		p1s---cd-	glaux_only
2063	δοκέω	v3siia---		δοκέω		v3siia---	glaux_only
2064	μάλα	d-------s		μάλα		d-------s	glaux_only
2065	πραγματεύομαι	v--rnm---		πραγματεύομαι		v--rnm---	glaux_only
2066	αὐτός	p-p---md-		αὐτός		p-p---md-	glaux_only
2067	,	u--------		,		u--------	glaux_only
